141.44 0.387 8.219 0.9308	0.93080 0.00049
144.48 0.396 8.395 0.9295	0.92949 0.00049
147.52 0.404 8.572 0.9290	0.92901 0.00049
150.56 0.412 8.749 0.9274	0.92737 0.00049
153.60 0.421 8.926 0.9264	0.92642 0.00049
156.65 0.429 9.102 0.9250	0.92496 0.00048
159.69 0.437 9.279 0.9232	0.92321 0.00049
162.73 0.446 9.456 0.9227	0.92274 0.00049
165.77 0.454 9.633 0.9207	0.92068 0.00049
168.81 0.462 9.809 0.9192	0.91924 0.00049
171.85 0.471 9.986 0.9187	0.91871 0.00049
174.90 0.479 10.163 0.9169	0.91690 0.00049
177.94 0.487 10.340 0.9151	0.91506 0.00049
180.98 0.495 10.516 0.9145	0.91451 0.00049
184.02 0.504 10.693 0.9132	0.91320 0.00049
187.06 0.512 10.870 0.9131	0.91305 0.00049
190.10 0.520 11.047 0.9093	0.90931 0.00049
193.15 0.529 11.223 0.9084	0.90838 0.00049
196.19 0.537 11.400 0.9069	0.90694 0.00048
199.23 0.545 11.577 0.9066	0.90664 0.00049
202.27 0.554 11.754 0.9047	0.90468 0.00049
205.31 0.562 11.930 0.9036	0.90355 0.00049
208.35 0.570 12.107 0.9024	0.90239 0.00049
211.40 0.579 12.284 0.9012	0.90119 0.00049
214.44 0.587 12.461 0.8991	0.89909 0.00049
217.48 0.595 12.637 0.8980	0.89802 0.00049
220.52 0.604 12.814 0.8970	0.89695 0.00049
223.56 0.612 12.991 0.8958	0.89578 0.00049
226.60 0.620 13.167 0.8940	0.89402 0.00048
229.65 0.629 13.344 0.8923	0.89232 0.00049
232.69 0.637 13.521 0.8923	0.89230 0.00049
235.73 0.645 13.698 0.8910	0.89099 0.00049
238.77 0.654 13.874 0.8902	0.89015 0.00049
241.81 0.662 14.051 0.8885	0.88850 0.00049
244.85 0.670 14.228 0.8870	0.88696 0.00049
247.90 0.679 14.405 0.8860	0.88602 0.00049
250.94 0.687 14.581 0.8846	0.88455 0.00049
253.98 0.695 14.758 0.8827	0.88268 0.00049
257.02 0.704 14.935 0.8819	0.88186 0.00049
260.06 0.712 15.112 0.8809	0.88092 0.00045
263.10 0.720 15.288 0.8790	0.87898 0.00050
266.15 0.729 15.465 0.8793	0.87931 0.00049
269.19 0.737 15.642 0.8765	0.87651 0.00049
272.23 0.745 15.819 0.8753	0.87527 0.00048
275.27 0.754 15.995 0.8750	0.87501 0.00049
278.31 0.762 16.172 0.8732	0.87315 0.00049
281.35 0.770 16.349 0.8724	0.87244 0.00049
284.40 0.779 16.526 0.8712	0.87119 0.00041
287.44 0.787 16.702 0.8697	0.86971 0.00049
290.48 0.795 16.879 0.8683	0.86828 0.00049
293.52 0.804 17.056 0.8683	0.86834 0.00049
296.56 0.812 17.233 0.8662	0.86623 0.00049
299.60 0.820 17.409 0.8654	0.86540 0.00049
302.65 0.829 17.586 0.8648	0.86477 0.00049
305.69 0.837 17.763 0.8629	0.86288 0.00049
308.73 0.845 17.940 0.8615	0.86148 0.00049
311.77 0.854 18.116 0.8610	0.86100 0.00045
314.81 0.862 18.293 0.8590	0.85904 0.00048
317.85 0.870 18.470 0.8578	0.85780 0.00049
320.90 0.879 18.647 0.8570	0.85700 0.00049
323.94 0.887 18.823 0.8562	0.85616 0.00049
326.98 0.895 19.000 0.8555	0.85549 0.00049
330.02 0.904 19.177 0.8534	0.85337 0.00049
333.06 0.912 19.354 0.8527	0.85266 0.00048
336.10 0.920 19.530 0.8513	0.85131 0.00049
339.15 0.929 19.707 0.8504	0.85038 0.00049
342.19 0.937 19.884 0.8491	0.84905 0.00049
345.23 0.945 20.061 0.8485	0.84846 0.00049
348.27 0.954 20.237 0.8472	0.84715 0.00049
351.31 0.962 20.414 0.8462	0.84618 0.00044
354.35 0.970 20.591 0.8455	0.84554 0.00049
357.40 0.978 20.768 0.8432	0.84324 0.00048
360.44 0.987 20.944 0.8426	0.84258 0.00049
363.48 0.995 21.121 0.8413	0.84133 0.00049
